Run Name,Date,Distance (km),Pace,Time (min),Description,Split Number,Split Distance (km),Split Pace,Split Time
"Evening Run",2025-08-08,5.04,30.6,6:05/km,"No description",1.00,6:04,6:03/km,1.00,6:31,6:32/km,1.00,6:29,6:29/km,1.00,6:09,6:09/km,1.00,5:18,5:17/km,37.7,0:08,3:32/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"need a long run soon",2025-08-07,5,30.1,6:01/km,"That pimple on my calf is the most painful thing ever",1.00,5:57,5:56/km,1.00,6:07,6:07/km,1.00,6:05,6:05/km,1.00,6:04,6:04/km,1.00,5:50,5:50/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"not tired anymore",2025-08-05,5,28.2,5:38/km,"made tons of mistakes, just a few regrets",1.00,5:10,5:09/km,1.00,6:02,6:03/km,1.00,6:00,5:59/km,1.00,5:52,5:53/km,1.00,5:08,5:08/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Afternoon Run",2025-08-04,3.5,20.6,5:52/km,"2.5 km in there was this piercing pain on my right side tried to complete 5k but just couldnt, apparently it is because of eating too close the the run",1.00,5:47,5:47/km,1.00,5:54,5:53/km,1.00,5:46,5:46/km,0.50,3:06,6:11/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"not every run feels the same",2025-08-02,5.04,30.5,6:03/km,"No description",1.00,6:21,6:20/km,1.00,6:22,6:22/km,1.00,6:04,6:04/km,1.00,5:44,5:44/km,1.00,5:45,5:45/km,36,0:12,5:34/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"practicing zone 2 running",2025-07-31,5.01,35.5,7:05/km,"pretty impressive how slow I ran considering i didn't walk or stop at all",1.00,7:27,7:26/km,1.00,7:08,7:08/km,1.00,7:03,7:03/km,1.00,7:00,6:58/km,1.00,6:47,6:48/km,6.1,0:03,8:12/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"So close, yet so far",2025-07-29,10.1,61.8,6:07/km,"Romeiro get your shoes ready....",1.00,6:10,6:10/km,1.00,6:15,6:16/km,1.00,6:02,6:01/km,1.00,5:31,5:32/km,1.00,5:16,5:16/km,1.00,8:27,8:28/km,1.00,6:07,6:07/km,1.00,5:36,5:36/km,1.00,5:31,5:31/km,1.00,6:31,6:30/km,98.7,0:24,4:03/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ran to xaviers",2025-07-26,4,29.8,7:28/km,"No description",1.00,6:22,6:22/km,1.00,6:28,6:28/km,1.00,8:07,8:07/km,1.00,8:53,8:53/km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Running in the rain is amazing!!!!!",2025-07-22,8,70.3,8:47/km,"No description",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"running without aliqyaan<<<",2025-07-20,3.02,20.5,6:47/km,"No description",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
